A.1 Total Costs,A.1_Expected Number of Deaths,A.2 Total Costs,A.2_Expected Number of Deaths,A.3 Total Costs,A.3_Expected Number of Deaths,A.4 Total Costs,A.4_Expected Number of Deaths,A.5 Total Costs,A.5_Expected Number of Deaths,RfR Total Costs,Expected Evacuation Costs
99612276.64163463,0.06311734600548399,55350682.87724817,0.04661565389034998,161956674.66138545,0.2570844269526411,0.0,0.0,253914545.4625774,0.2029980940574337,0.0,0.0
14343078.06970081,0.010553728185800677,36592269.99503283,0.03572890180999977,952075784.817477,1.6573458529669711,148446939.84534693,0.05655006695113126,0.0,0.0,0.0,0.0
16829965.012897417,0.010556631592818177,42947179.29049423,0.03576188269176847,75208152.49464512,0.11744026876333749,73966995.09553552,0.029566783966109476,0.0,0.0,0.0,0.0
3748654120.841997,1.9848418651016941,314707105.6150909,0.20718544629814523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3512105961.1623425,1.9675395080409257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2352070770.974037,1.9944231950672475,431381689.9479623,0.4604416557249572,0.0,0.0,11216972.945089709,0.0041235136923688555,0.0,0.0,0.0,0.0
13889321.884928744,0.01056340483030978,71673329.03674433,0.07091675704675121,27110677.009493344,0.051489256010275014,170427529.49687618,0.07181247103440042,0.0,0.0,0.0,0.0
1011792582.1171868,0.941815557205022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
819280865.0807824,0.7185885437622538,664209761.8722199,0.7288064278184416,19789580.205093034,0.04412405733887399,0.0,0.0,0.0,0.0,0.0,0.0
2203884122.5135226,1.9967850426386944,91633566.11806211,0.10729361030721732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15233127.070367021,0.010459232094241756,16114845.466162086,0.015067622148136457,60637847.61348145,0.10476950704550345,14469432.466698257,0.007255926114390904,159172923.1363743,0.13695412844724472,0.0,0.0
17212558.33381218,0.010833821242278444,34953721.349781334,0.0294671251100043,1487145461.7932134,2.19593423975302,3097031.6312470827,0.0010997859096964883,0.0,0.0,0.0,0.0
2029642002.6623192,1.9675395080409257,0.0,0.0,55680479.383379176,0.13929208221961284,5499527.299858614,0.003048497800792902,0.0,0.0,0.0,0.0
0.0,0.0,4243529.032894055,0.003785377662254326,104630823.15028387,0.16931047800096732,32654944.105737012,0.013673670198713609,0.0,0.0,0.0,0.0
0.0,0.0,886722200.0082208,0.8943447161716329,113068342.36837053,0.23281956122113415,45965020.948309064,0.02217703995092383,0.0,0.0,0.0,0.0
386507635.0845449,0.2650881662260549,890566604.1786373,0.7517161945427089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3415093309.8336196,1.9675395080409257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,43872804.07993592,0.046966928208574926,17414747.219791315,0.0351648359185006,37595095.02902633,0.019508876201964117,351405825.97880536,0.3470603505742389,0.0,0.0
1609240345.3300133,0.926098771198186,0.0,0.0,0.0,0.0,30406421.76312925,0.011774760160473408,0.0,0.0,0.0,0.0
0.0,0.0,885617233.5279057,0.8926597971790475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,14417745.31654653,0.01528480258877704,595947792.0890545,1.1081542622400948,13869674.590858392,0.006724589819987614,69933771.85073861,0.06535346374864426,0.0,0.0
3436621643.671635,1.9831998209543995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3401420147.8885083,1.995592684556264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107569430.26548469,0.07231170111337815,1112487111.354465,0.8853493734696269,2185140080.5307684,3.3198456399431757,0.0,0.0,0.0,0.0,0.0,0.0
816198673.1069256,0.7152698835849138,22342467.03528007,0.02749033158859677,1686324272.7330747,3.648706204709664,0.0,0.0,0.0,0.0,0.0,0.0
1533250910.5385442,1.215601288864197,64705392.34839393,0.06651304365861921,1021363471.845329,2.0320096249895743,0.0,0.0,0.0,0.0,0.0,0.0
3054433938.935382,2.0179049913095466,66173005.066880465,0.05905094121054866,0.0,0.0,719799.4412626303,0.00032435754391054323,0.0,0.0,0.0,0.0
3101868850.9384823,2.005040703641182,92936470.38805729,0.07391420487564168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,17174143.630556073,0.015067809709202292,80029536.61539052,0.1291826803465776,146977510.01368928,0.05758096548412519,0.0,0.0,0.0,0.0
2883992948.0397754,2.0014748425065414,155895504.64499527,0.14782269391544417,1124901357.2364013,1.9772828612072917,49294063.88377771,0.01557567580951326,0.0,0.0,0.0,0.0
3253775528.69003,2.005849109578763,0.0,0.0,94359967.90454364,0.15475718762856405,38837553.28771888,0.014465407559458767,0.0,0.0,0.0,0.0
0.0,0.0,10975508.2460055,0.01512240877766162,691677761.0755079,1.6535354762112624,34978739.84633375,0.021865595937809727,0.0,0.0,0.0,0.0
2527247779.952189,2.0194674780260566,3007916.6047523683,0.003522550534346713,22995601.31129633,0.050804145804698254,0.0,0.0,297833239.68514526,0.31765357249957016,0.0,0.0
116491706.14109993,0.08600444143715526,46631693.99097522,0.04599441927706738,39067632.07081289,0.07389110761765692,49627205.95463067,0.023892007919374455,0.0,0.0,0.0,0.0
213308670.61421406,0.16832800498510098,424169450.91568404,0.42203311337928806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57518464.299583554,0.039138917948686444,506194051.64156306,0.4226758482271183,50774484.79864056,0.08369852732552464,0.0,0.0,414542.7324970399,0.00034210003979098715,0.0,0.0
307330128.48822933,0.2014878467969215,15618119.92780182,0.014193929631317465,29992977.743764803,0.05149919417828139,44907328.89443343,0.019821531027842957,55571939.99258602,0.04665292919960594,0.0,0.0
17772893.82952185,0.01051127037357905,443665500.38658714,0.3224358353478485,2203170315.6929917,2.9787170091655204,24007620.7375331,0.00803485462181648,0.0,0.0,0.0,0.0
68453735.93530251,0.04025501627022734,216923886.38690895,0.1624812148739315,0.0,0.0,73572903.63946386,0.02709821277584197,1248152896.2806396,0.8688924884536097,0.0,0.0
15731516.92028016,0.010854981181343487,16243699.242155092,0.015294263565085939,75248524.68660983,0.1296565425584355,118447846.31693651,0.05138974474096226,0.0,0.0,0.0,0.0
0.0,0.0,63099327.021664046,0.0716166197385947,199581022.57472554,0.4213531619152457,0.0,0.0,0.0,0.0,0.0,0.0
3119578553.348117,2.0194674780260566,0.0,0.0,89828969.50635383,0.15436802399432434,0.0,0.0,0.0,0.0,0.0,0.0
2784338468.1423454,2.0002358608828783,149982032.4606814,0.13881169223681328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1895645404.701033,1.4923488276931938,12091862.987106,0.013581209555030218,0.0,0.0,0.0,0.0,161516620.0104745,0.17134094117952056,0.0,0.0
52881060.4630125,0.0399158012777078,118670619.41529477,0.11558153970613433,72971877.1780206,0.13451060671248938,175095404.10647187,0.07422699736471118,0.0,0.0,0.0,0.0
0.0,0.0,28093431.742694184,0.024518724768807808,62747943.10944013,0.10214793234867095,7593114.329744883,0.003536704051723863,357685293.01277703,0.28677466096760873,0.0,0.0
0.0,0.0,15077874.445849296,0.015109442283991083,94095807.30255325,0.17246669228586664,53843674.47353234,0.025520991141474846,20200262.0258256,0.01824745131845136,0.0,0.0
788994652.335353,0.5424419691944764,0.0,0.0,2172460275.052168,3.6561190282449707,0.0,0.0,0.0,0.0,0.0,0.0
1469410366.0818765,0.9269776810387597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147875622.70378876,0.09081652405310191,0.0,0.0,278753822.0045348,0.428409118407454,75153406.41338451,0.029735290005729543,26157407.294350967,0.020070964548190812,0.0,0.0
390666526.1724398,0.2685512013690364,196920871.47255704,0.17630399258294163,1281388297.1575341,2.161350983283087,0.0,0.0,0.0,0.0,0.0,0.0
12028703.275611253,0.010424992894450499,223026927.2088143,0.24034160257508458,70462599.68617511,0.14727650686018223,0.0,0.0,0.0,0.0,0.0,0.0
2036225068.572396,1.975596416468064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
