Expected Annual Damage,Total Investment Costs,Expected Number of Deaths
3101539618.0226793,0.0,2.702511522320046
1120814564.3887012,0.0,0.950479718552055
2268391085.049507,0.0,1.9804082342536673
1509783888.3658428,0.0,1.3253665810973003
453230164.47347194,0.0,0.37717326653958333
795815452.0213617,0.0,0.7363802563185284
2485561462.224222,0.0,1.8891393990422538
3230106343.382494,0.0,2.235906097283757
493503909.0099146,0.0,0.6602443162159618
1078017558.3339024,0.0,1.1116456146802243
3348251367.5761,0.0,1.9236040470864655
522763434.3102204,0.0,0.43371883705246866
2350515871.541355,0.0,3.280276659831475
3146993610.7316685,0.0,1.7698011344140616
2449916135.5486054,0.0,1.8009178412694853
2562337733.8864756,0.0,1.7810941807311593
3179819511.4055395,0.0,1.793079343211351
558580135.5237558,0.0,0.5070725994358658
340097093.91079277,0.0,0.2529907910974689
1304343099.0709312,0.0,2.35173428886875
1829532910.4475083,0.0,3.531297481146815
2000981276.1295314,0.0,1.8229060260941228
1201243068.988521,0.0,2.575669918236892
1271842047.731735,0.0,0.8048652123341791
321704897.8307545,0.0,0.3485748897453136
966879178.1473264,0.0,0.8831626264492382
508987003.898885,0.0,0.4640533852214116
2529963467.5996075,0.0,1.821518910669852
3834634182.958531,0.0,4.726701340083946
256234159.93433475,0.0,0.29363465243251785
1720498559.8936896,0.0,3.4558733406864026
3403138954.5092063,0.0,3.122443900326854
603738149.2714221,0.0,0.5625541336089455
1116748390.9612992,0.0,0.8512107438437418
190132957.41800508,0.0,0.1215991816686381
295319789.5390409,0.0,0.5560109905180259
2778152112.7347646,0.0,2.3211236924733765
3122100586.7459297,0.0,2.674451942748778
287242447.3655835,0.0,0.2527303803299974
591871683.415827,0.0,0.5421322928772858
896812566.5564113,0.0,0.8533240651316254
1088280251.7374241,0.0,1.5192472277778246
1170685708.3946874,0.0,1.5737355936303081
3780116881.31007,0.0,2.2416071385870873
2411179084.479066,0.0,1.9106819134404591
2006332906.4430115,0.0,1.1527797166279234
441571598.68485034,0.0,0.37852325595432573
271707045.36922544,0.0,0.22768689909328202
181264786.91806254,0.0,0.21334766289045257
2438431827.919893,0.0,1.4348458907688495
1003810995.7954099,0.0,0.951855091616993
1223367461.4909577,0.0,0.8134850564183709
117450212.50381225,0.0,0.17994776864488493
807759732.769136,0.0,0.8104984103338259
2083279249.080157,0.0,2.049732709626457
1271629607.5924625,0.0,2.2389474095704833
2081645778.3889823,0.0,3.778701887973913
2000874524.0530784,0.0,1.2566092015834454
2778275748.0992084,0.0,1.9290308420633715
2072804785.9100165,0.0,1.7567429013944127
2534833065.726184,0.0,3.8765729941272564
2669953862.9180756,0.0,2.613457949877075
2039010625.3081987,0.0,3.5655962838673725
827771463.1847417,0.0,1.4796369968382703
1857697713.1729598,0.0,2.718366422722996
144709720.59176207,0.0,0.1930528807379972
893096994.8389457,0.0,0.8102149761826194
285805763.32475233,0.0,0.26303656987537083
178903961.97701898,0.0,0.15442956363113655
1933164367.4268146,0.0,3.292196031597071
2796444407.8070087,0.0,1.817303721954227
3685216156.990634,0.0,4.046930818360266
2740603933.2952557,0.0,1.8180266716974067
325114547.1609382,0.0,0.3456849891015296
2879656456.1105995,0.0,3.851715428547283
2557389962.7614098,0.0,3.501832625701483
3389879653.4022217,0.0,1.8060268134117274
3060691359.207454,0.0,1.76550382399371
2056914375.3241408,0.0,3.5395895084795055
2223119834.8738036,0.0,3.2656036429835815
585513762.8255187,0.0,0.49771156944617545
977277200.0285552,0.0,1.6463808291188509
471698625.714942,0.0,0.4397130765724775
1449339789.1775963,0.0,1.7574664627292989
568416613.9027256,0.0,0.39024470747305207
317396854.0959692,0.0,0.3976238104277825
4192389130.958464,0.0,4.5894459065879065
1141807096.8565888,0.0,0.8145634584387144
401723938.0469142,0.0,0.36756072289628916
168661400.16767526,0.0,0.12858940714623793
728056965.6548291,0.0,0.6869889949036857
3655751218.676787,0.0,1.7972225195584812
496482364.35249114,0.0,0.45014764844230315
742978768.4557985,0.0,0.7149759281466609
1805786140.9547412,0.0,3.384655803137181
1194822936.5589266,0.0,0.8863200997092892
1074940405.579042,0.0,1.0447394568225579
1820290871.1030822,0.0,1.771816416437486
2930148993.318125,0.0,1.8186073626766652
2501188454.8833117,0.0,1.7661741144523535
2782327039.042009,0.0,1.5825317676137205
2675377960.715212,0.0,1.8326947861265284
2676283126.5403786,0.0,1.8506932232036404
4180231130.818798,0.0,4.548966141750205
3158438279.7142816,0.0,2.0809910328091186
1688926174.6503541,0.0,3.3175579594938274
2557625285.9658604,0.0,2.3093078720794313
2234249756.84204,0.0,1.9377899439163766
355712793.5271784,0.0,0.378221265468898
3258009866.7877073,0.0,1.8294427022205761
1861440494.7981567,0.0,3.71349114836301
3172627881.357176,0.0,1.9776703378212668
688355004.8469408,0.0,0.7119161638179659
466708978.5878131,0.0,0.3288065722142022
2165310212.8314214,0.0,2.9870180116153264
1074349935.6640022,0.0,1.6204976328636571
2194221153.202654,0.0,1.8624422073990439
2414492786.891777,0.0,2.459673557464768
