Expected Annual Damage,Dike Investment Costs,RfR Investment Costs,Evacuation Costs,Expected Number of Deaths
0.0,796550496.8244628,1101400000.0,0.0,0.0
0.0,796550496.8244628,1270600000.0,0.0,0.0
0.0,796550496.8244628,1186000000.0,0.0,0.0
0.0,796550496.8244628,968200000.0,0.0,0.0
0.0,796550496.8244628,1186000000.0,0.0,0.0
0.0,796550496.8244628,1216700000.0,0.0,0.0
0.0,796550496.8244628,1186000000.0,0.0,0.0
1631464.5560976916,796550496.8244628,1155300000.0,76.98152790194762,0.0003951590962360419
0.0,796550496.8244628,1307200000.0,0.0,0.0
0.0,796550496.8244628,1307200000.0,0.0,0.0
0.0,796550496.8244628,1307200000.0,0.0,0.0
248636.2149125381,796550496.8244628,929900000.0,17.659377001428197,1.8239111325419497e-05
0.0,796550496.8244628,1186000000.0,0.0,0.0
248636.2149125381,796550496.8244628,929900000.0,17.659377001428197,1.8239111325419497e-05
0.0,745218189.7600293,1186000000.0,0.0,0.0
0.0,804738052.4358324,1186000000.0,0.0,0.0
0.0,808691754.0913844,1186000000.0,0.0,0.0
0.0,674833088.3930515,1186000000.0,0.0,0.0
0.0,659941728.5155348,1186000000.0,0.0,0.0
0.0,601664869.5780107,1186000000.0,0.0,0.0
0.0,833012414.4217374,1186000000.0,0.0,0.0
0.0,735984096.9618571,1186000000.0,0.0,0.0
0.0,793137178.5902245,1186000000.0,0.0,0.0
0.0,796550496.8244628,1186000000.0,0.0,0.0
0.0,791486338.3877574,1186000000.0,0.0,0.0
0.0,782520040.2079659,1186000000.0,0.0,0.0
0.0,806100810.3988498,1186000000.0,0.0,0.0
0.0,796550496.8244628,1186000000.0,0.0,0.0
0.0,872668414.7461231,1186000000.0,0.0,0.0
0.0,796550496.8244628,1186000000.0,0.0,0.0
0.0,452595795.9752594,819600000.0,0.0,0.0
0.0,452595795.9752594,819600000.0,0.0,0.0
65323526.38723777,452595795.9752594,650400000.0,919.8664771672409,0.005975873953920133
0.0,452595795.9752594,735000000.0,0.0,0.0
0.0,452595795.9752594,952800000.0,0.0,0.0
0.0,452595795.9752594,735000000.0,0.0,0.0
0.0,452595795.9752594,704300000.0,0.0,0.0
0.0,452595795.9752594,735000000.0,0.0,0.0
0.0,452595795.9752594,765700000.0,0.0,0.0
0.0,452595795.9752594,613800000.0,0.0,0.0
0.0,452595795.9752594,613800000.0,0.0,0.0
0.0,452595795.9752594,613800000.0,0.0,0.0
0.0,452595795.9752594,991100000.0,0.0,0.0
0.0,452595795.9752594,735000000.0,0.0,0.0
0.0,452595795.9752594,991100000.0,0.0,0.0
0.0,505917135.87103486,735000000.0,0.0,0.0
0.0,444818217.4794892,735000000.0,0.0,0.0
0.0,441243621.10307205,735000000.0,0.0,0.0
0.0,515495161.25358,735000000.0,0.0,0.0
0.0,520375175.8199475,735000000.0,0.0,0.0
0.0,566437948.2280815,735000000.0,0.0,0.0
0.0,430206726.9221146,735000000.0,0.0,0.0
0.0,525498568.35660493,735000000.0,0.0,0.0
0.0,455579856.3273561,735000000.0,0.0,0.0
0.0,452595795.9752594,735000000.0,0.0,0.0
0.0,456748089.51504624,735000000.0,0.0,0.0
0.0,465714387.6948378,735000000.0,0.0,0.0
